id,title,description,image,category,status,date,time,duration,participants,maxParticipants,streams,organizerName,organizerAvatar,organizerOrganization,registrationLink,meetingLink,recordingLink,isFeatured,isBookmarked,tags,location,venue,speakerName,speakerRole,speakerAvatar,prerequisites,learningOutcomes,certificateOffered,registrationDeadline,createdAt
evt_001,Smart India Hackathon 2025,Nationwide initiative providing students a platform to solve pressing problems and inculcate a culture of product innovation and problem-solving mindset. Focuses on real-world challenges.,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?w=800&h=450&fit=crop,hackathon,registration-open,2025-02-20T09:00:00+05:30,9:00 AM IST,72 hours,8500,15000,"CSE,IT,AI/ML,Mechatronics,Electronics",Ministry of Education,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=100,Government of India,https://sih.gov.in,,,TRUE,FALSE,"Hackathon,Innovation,Problem Solving,Government",hybrid,Multiple Cities Across India,Dr. Rajesh Kumar,Director - Innovation Cell,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=100,Engineering/Graduate/Post-Graduate students,"Real-world problem solving|Product innovation|Team collaboration|Technical implementation",TRUE,2025-02-15T23:59:59+05:30,2024-11-01T10:00:00+05:30
evt_002,HackIndia 2025 - Web3 & AI National Finals,India's largest Web3 hackathon with $150000 prize pool. Regional sparks across 15 cities culminating in 36-hour national finals focused on Web3 and AI innovation.,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=800&h=450&fit=crop,hackathon,upcoming,2025-03-17T09:00:00+05:30,9:00 AM IST,36 hours,2500,5000,"CSE,IT,AI/ML,Blockchain",C# Corner,https://images.unsplash.com/photo-1568602471122-7832951cc4c5?w=100,C# Corner Community,https://hackindia.xyz,,,TRUE,TRUE,"Web3,AI,Blockchain,Prizes",in-person,"Delhi NCR, India",Nikil Viswanathan,CEO - Alchemy,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=100,Programming knowledge|Web3 basics,"Web3 development|AI integration|Decentralized applications|Smart contracts",TRUE,2025-03-10T23:59:59+05:30,2024-11-15T14:00:00+05:30
evt_003,hackCBS 8.0 - Delhi University Hackathon,India's biggest student-run hackathon. Asia's first MLH Member Hackathon with prizes worth $150000. Ultimate platform for innovation and creativity.,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800&h=450&fit=crop,hackathon,upcoming,2025-11-08T09:00:00+05:30,9:00 AM IST,48 hours,1200,1500,"CSE,IT,AI/ML,Design",Shaheed Sukhdev College,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=100,Delhi University,https://hackcbs.tech,,,TRUE,FALSE,"Student-run,MLH,Innovation,Delhi",in-person,"Shaheed Sukhdev College, Delhi University",Coding Blocks Team,Lead Mentors,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=100,Student ID required|Basic coding,"Project development|Team collaboration|Innovation|Networking",TRUE,2025-11-01T23:59:59+05:30,2024-09-01T10:00:00+05:30
evt_004,Hack the Future 2025 - IIT Gandhinagar,AI/ML-based hackathon focusing on government data innovation. Develop predictive models and semantic search solutions using public datasets.,https://images.unsplash.com/photo-1677442136019-21780ecad995?w=800&h=450&fit=crop,hackathon,registration-open,2025-03-21T09:00:00+05:30,9:00 AM IST,48 hours,350,500,"CSE,AI/ML,Data Science,Statistics",IIEC IIT Gandhinagar,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=100,IIT Gandhinagar,https://iieciitgn.com/hackthefuture,,,TRUE,TRUE,"AI,Data Science,Government Data,Innovation",in-person,"IIT Gandhinagar Campus, Gujarat",Prof. Ananya Sharma,Head - Data Science,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?w=100,Python knowledge|Statistics basics,"AI/ML modeling|Data analysis|Semantic search|Policy applications",TRUE,2025-03-15T23:59:59+05:30,2024-12-01T09:00:00+05:30
evt_005,Sparkathon 2025 - Flipkart Challenge,Open innovation challenge to build cutting-edge tech solutions for retail. Reimagine shopping experiences blending online and offline worlds.,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800&h=450&fit=crop,hackathon,registration-open,2025-01-25T10:00:00+05:30,10:00 AM IST,24 hours,1200,2000,"CSE,IT,Design,Commerce",Flipkart,https://images.unsplash.com/photo-1535713875002-d1d0cf377fde?w=100,Flipkart India,https://unstop.com/hackathons/sparkathon,,,FALSE,FALSE,"E-commerce,Retail Tech,Innovation,Prizes",hybrid,Bangalore & Online,Kalyan Krishnamurthy,CEO - Flipkart,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=100,Engineering students only,"Retail innovation|Tech solutions|UX design|Problem solving",TRUE,2025-01-20T23:59:59+05:30,2024-11-20T11:00:00+05:30
evt_006,Girl Hackathon 2025,Exclusive program for women students in computer science and allied courses. Empowering female tech talent with innovation challenges.,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=800&h=450&fit=crop,hackathon,registration-open,2025-02-14T09:00:00+05:30,9:00 AM IST,24 hours,800,1000,"CSE,IT,AI/ML,Design",WiTech Foundation,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=100,Women in Technology,https://girlhackathon.in,,,FALSE,TRUE,"Women in Tech,Diversity,Innovation,Empowerment",online,Virtual Event,Priya Menon,Founder - WiTech,https://images.unsplash.com/photo-1487412720507-e7ab37603c6f?w=100,Female students only,"Tech skills|Confidence building|Networking|Career guidance",TRUE,2025-02-10T23:59:59+05:30,2024-12-05T10:00:00+05:30
evt_007,KU Hackathon 2025,Based on 4 domains: Smart Automation Green Technology Smart City and Blockchain Technology. Prizes worth Rs 22500.,https://images.unsplash.com/photo-1519389950473-47ba0277781c?w=800&h=450&fit=crop,hackathon,registration-open,2025-01-15T09:00:00+05:30,9:00 AM IST,24 hours,400,600,"CSE,IT,Electronics,Mechanical",Kurukshetra University,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=100,Kurukshetra University,https://kuk.ac.in,,,FALSE,FALSE,"Blockchain,IoT,Smart City,Green Tech",in-person,"Kurukshetra University, Haryana",Dr. Ramesh Singh,Professor - CSE,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=100,College students,"Smart automation|Blockchain|Sustainability|Urban tech",TRUE,2025-01-10T23:59:59+05:30,2024-11-10T09:00:00+05:30
evt_008,Full-Stack Web Development Bootcamp,Comprehensive bootcamp covering React Node.js MongoDB and deployment. Build and deploy your first full-stack application with industry experts.,https://images.unsplash.com/photo-1498050108023-c5249f4df085?w=800&h=450&fit=crop,workshop,live,2024-10-31T19:00:00+05:30,7:00 PM IST,3 hours,2847,3000,"CSE,IT,Web Development",Code Academy India,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=100,Code Academy,https://codeacademy.in,https://zoom.us/j/webdev2024,https://youtube.com/watch?v=fullstack2024,FALSE,TRUE,"Web Dev,React,Node.js,MongoDB,Full-Stack",online,Virtual Workshop,Amit Patel,Senior Full-Stack Developer,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=100,Basic HTML/CSS knowledge,"Full-stack development|React mastery|Backend with Node|Database design|Deployment",TRUE,2024-10-31T18:00:00+05:30,2024-10-15T10:00:00+05:30
evt_009,AI & Machine Learning Masterclass,3-day intensive bootcamp covering AI fundamentals ML algorithms neural networks and hands-on projects with real-world datasets from industry experts.,https://images.unsplash.com/photo-1677442136019-21780ecad995?w=800&h=450&fit=crop,workshop,registration-open,2024-12-15T18:00:00+05:30,6:00 PM IST,3 days,542,800,"CSE,AI/ML,Data Science,IT",Google Developer Student Club,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=100,Google,https://gdsc.community.dev/events,,,TRUE,TRUE,"AI,Machine Learning,Python,TensorFlow,Neural Networks",online,Virtual Bootcamp,Dr. Priya Sharma|Rahul Kumar,AI Research Scientist Google|ML Engineer Microsoft,https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=100,Basic Python|Math fundamentals,"Core ML algorithms|Model building|TensorFlow/PyTorch|3 real-world projects",TRUE,2024-12-10T23:59:59+05:30,2024-10-15T10:00:00+05:30
evt_010,Cloud Computing with AWS Certification Prep,Learn AWS fundamentals EC2 S3 Lambda and deploy scalable applications. Includes certification guidance and hands-on labs for AWS Solutions Architect.,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=800&h=450&fit=crop,webinar,upcoming,2024-11-08T18:30:00+05:30,6:30 PM IST,90 minutes,1523,2000,"CSE,IT,Cloud Computing,DevOps",AWS Student Community,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=100,Amazon Web Services,https://aws.amazon.com/events/student,https://zoom.us/j/awsstudent,,,TRUE,FALSE,"AWS,Cloud,DevOps,Certification,Serverless",online,Virtual Webinar,Sarah Johnson,AWS Solutions Architect,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?w=100,Basic programming,"AWS services|Cloud architecture|Serverless computing|Certification prep",TRUE,2024-11-07T23:59:59+05:30,2024-10-22T09:00:00+05:30
