provider,title,category,description,discountOfferINR,validity,verificationMethod,claimLink,badge
Coursera,Free Online Courses & Certificates,Development,Access thousands of free courses from top universities including Stanford MIT Harvard with certificates available,Free (Audit Mode),Ongoing,Student Email,https://www.coursera.org/courses?query=free,Development
GitHub Education,Student Developer Pack,Development,Complete developer toolbox with 25+ premium tools including GitHub Copilot Pro Microsoft Azure JetBrains and more,₹30000+ value,Valid until graduation,Student Email or ID,https://education.github.com/pack,Development
AWS Educate,Cloud Computing Training,Cloud,Free cloud computing courses labs and $25-100 AWS credits without credit card requirement,₹8000 credits,1 year renewable,Student Email or ID,https://aws.amazon.com/education/awseducate/,Cloud
Microsoft Azure,Azure for Students,Cloud,Free access to 25+ Azure services plus $100 in credits for cloud computing learning,₹8300 credits,1 year,Student Email,https://azure.microsoft.com/en-us/free/students/,Cloud
Google Digital Garage,Fundamentals of Digital Marketing,Marketing,Free certification course in digital marketing covering SEO social media and analytics,Free certification,Lifetime access,Email verification,https://learndigital.withgoogle.com/digitalgarage,Marketing
IBM SkillsBuild,AI and Data Science Courses,AI & ML,Free courses in AI Machine Learning Data Science with IBM certification and virtual internship,Free certification,Ongoing,Student Email,https://skillsbuild.org/,AI & ML
LinkedIn Learning,470+ Free Courses with Certificates,Business,Free professional development courses in business tech and creative skills with certificates,Free (select courses),Ongoing,Email verification,https://www.linkedin.com/learning/,Business
edX,Free University Courses,Development,Free courses from MIT Harvard Berkeley with audit option and paid certificate track available,Free (Audit Mode),Ongoing,Email registration,https://www.edx.org/courses?q=free+online+courses,Development
Khan Academy,Complete K-12 and College Prep,Productivity,Completely free educational platform for math science economics SAT prep and more,100% Free,Lifetime access,Email registration,https://www.khanacademy.org/,Productivity
Udemy,Free Development Courses,Development,Thousands of free courses in web development programming and tech skills,Free (select courses),Lifetime access,Email registration,https://www.udemy.com/courses/free/,Development
DataCamp,3 Months Free for Students,Data Science,Free access to data science Python R and SQL courses through GitHub Student Pack,₹2500 value,3 months,GitHub Student Pack,https://www.datacamp.com/github-students,Data Science
Educative,6 Months Free Interactive Courses,Development,Free access to 60+ coding courses including React Python Kubernetes through GitHub Student Pack,₹16000 value,6 months,GitHub Student Pack,https://www.educative.io/github-students,Development
JetBrains,Professional IDE Suite,Development,Free licenses for IntelliJ IDEA PyCharm WebStorm and all JetBrains IDEs for students,₹25000+ value,Valid until graduation,Student Email or ID,https://www.jetbrains.com/community/education/,Development
Canva Pro,Design Platform,Design,12 months free Canva Pro for creating presentations resumes and graphics through GitHub Student Pack,₹4000 value,12 months,GitHub Student Pack,https://www.canva.com/education/,Design
MongoDB Atlas,Database Hosting,Cloud,$200 in cloud database hosting credits for students through GitHub Student Pack,₹16600 credits,1 year,GitHub Student Pack,https://www.mongodb.com/students,Cloud
DigitalOcean,Cloud Hosting Credits,Cloud,$200 credits to deploy and test cloud applications and websites,₹16600 credits,1 year,GitHub Student Pack,https://www.digitalocean.com/github-students,Cloud
Heroku,Platform Credits,Cloud,$13 per month platform credits for 24 months to deploy applications,₹26000 value,24 months,GitHub Student Pack,https://www.heroku.com/github-students,Cloud
Namecheap,Free Domain and SSL,Productivity,Free domain name for 1 year plus SSL certificate for student projects,₹800 value,1 year,GitHub Student Pack,https://nc.me/,Productivity
Saylor Academy,130+ College Level Courses,Business,Free college-level courses in Business Economics Computer Science with certificates,100% Free,Lifetime access,Email registration,https://www.saylor.org/,Business
Harvard Online,CS50 and Free Courses,Development,Free computer science and programming courses including famous CS50 with certificate,Free (paid cert option),Ongoing,Email registration,https://online-learning.harvard.edu/catalog/free,Development
Stanford Online,Free Online Courses,Development,Free courses in computer science AI machine learning from Stanford University,Free (Audit Mode),Ongoing,Email registration,https://online.stanford.edu/free-courses,Development
MIT OpenCourseWare,Free MIT Courses,Development,Complete MIT course materials from 2500+ courses completely free,100% Free,Lifetime access,No verification,https://ocw.mit.edu/,Development
FreeCodeCamp,Full Stack Development,Development,Completely free coding bootcamp with certifications in web development and data science,100% Free,Lifetime access,Email registration,https://www.freecodecamp.org/,Development
Codecademy,Learn to Code for Free,Development,Interactive coding lessons in Python JavaScript HTML CSS and more languages,Free (Basic Plan),Ongoing,Email registration,https://www.codecademy.com/,Development
Google AI,Machine Learning Crash Course,AI & ML,Free machine learning course by Google with TensorFlow exercises and certificates,100% Free,Ongoing,Email registration,https://developers.google.com/machine-learning/crash-course,AI & ML
Microsoft Learn,Free Microsoft Certifications,Cloud,Free training paths for Azure Microsoft 365 Power Platform with certification exams,Free training,Ongoing,Microsoft account,https://learn.microsoft.com/,Cloud
Cisco Networking Academy,Networking and Cybersecurity,Development,Free courses in networking cybersecurity IoT and programming with certifications,100% Free,Ongoing,Student Email,https://www.netacad.com/,Development
Oracle Academy,Database and Java Courses,Development,Free courses in database management Java programming and cloud computing,100% Free,Ongoing,Student Email,https://academy.oracle.com/,Development
SAP Learning Hub,Enterprise Software Training,Business,Free access to SAP courses through university partnerships for business software,Free (with partner uni),Ongoing,University Email,https://learning.sap.com/,Business
Tableau,Free Data Visualization for Students,Data Science,Free 1-year Tableau Desktop license for students learning data visualization,₹6000 value,1 year renewable,Student Email,https://www.tableau.com/academic/students,Data Science
Autodesk,Free Design and Engineering Software,Design,Free 3-year access to AutoCAD Fusion 360 Maya and other design tools,₹100000+ value,3 years renewable,Student Email,https://www.autodesk.com/education/,Design
Adobe Creative Cloud,Design and Creative Tools,Design,65% discount on Adobe Creative Cloud for students including Photoshop Illustrator,₹1700/month discount,Valid as student,Student Email or ID,https://www.adobe.com/in/creativecloud/buy/students.html,Design
Notion,Productivity and Note-taking,Productivity,Free Notion Personal Pro plan for students with unlimited blocks and file uploads,Free upgrade,Valid as student,Student Email,https://www.notion.so/students,Productivity
Figma,UI/UX Design Platform,Design,Free Figma Professional plan for students with unlimited projects and version history,Free (edu plan),Valid as student,Student Email,https://www.figma.com/education/,Design
